review_id,rating,review_title,review_text,reviewer_name,review_date,platform,verified_purchase,helpful_count,app_version,user_type
1,5,"Perfect for movie lovers!","This app makes booking movie tickets so easy! Love the seat selection feature and the interface is clean. Booked tickets for Avengers and the whole process took less than 2 minutes. Payment was smooth too.",MovieFan2024,2024-01-15,Google Play,true,23,2.1.0,regular_user
2,1,"App crashes constantly","Tried to book tickets for the new Spider-Man movie but the app keeps crashing when I select seats. Very frustrating experience. Lost my payment twice and had to call customer service. Please fix these bugs!",TechReviewer88,2024-01-14,App Store,true,45,2.1.0,regular_user
3,4,"Good app but needs dark mode","The booking process is straightforward and I like the movie recommendations. However, the app is too bright especially when using at night. Please add a dark theme option. Also, the app is a bit slow on older phones.",NightOwl2023,2024-01-16,Google Play,true,18,2.1.0,regular_user
4,2,"Terrible customer service integration","The app itself works fine for booking but when I needed to cancel my tickets due to emergency, there's no easy way to do it through the app. Had to call customer service and wait 45 minutes. Very disappointing.",BusinessTraveler,2024-01-13,App Store,true,67,2.0.5,premium_user
5,5,"Admin features are excellent","As a cinema owner, this app's admin panel is fantastic. I can easily manage showtimes, track bookings, and the analytics dashboard gives great insights. Revenue tracking is spot on. Highly recommend for theater management.",CinemaOwnerABC,2024-01-17,Google Play,true,12,2.1.0,admin_user
6,3,"Decent but missing features","App works for basic booking but I wish it had more features like movie trailers integration, reviews from other users, and loyalty points system. The seat map could be more detailed too. It's okay for now.",CasualViewer,2024-01-12,App Store,true,8,2.0.5,regular_user
7,1,"Payment gateway issues","Every time I try to pay, it shows 'Payment failed' even though money gets deducted from my account. This has happened 3 times now. I've switched to BookMyShow. Fix your payment system please!",FrustratedUser2024,2024-01-18,Google Play,false,89,2.1.0,regular_user
8,4,"Great seat selection feature","The visual seat selection is amazing! You can see exactly which seats are available and the view from different sections. Booked premium seats for my anniversary and the experience was smooth. Just needs faster loading.",RomanticMoviegoer,2024-01-11,App Store,true,31,2.0.5,regular_user
9,5,"Best movie booking app I've used","Clean interface, fast booking, multiple payment options, and great customer support. Love that I can see my booking history and upcoming shows. The push notifications for new movies are helpful too!",AppEnthusiast,2024-01-19,Google Play,true,42,2.1.0,premium_user
10,2,"Too many bugs in latest update","The previous version was working fine but after the 2.1.0 update, the app has become very buggy. Search doesn't work properly, shows keep disappearing, and the checkout process hangs. Please rollback or fix these issues.",TechSavvyUser,2024-01-20,App Store,true,156,2.1.0,regular_user
11,4,"Good for families","Booking multiple tickets for family is easy with this app. Love the different ticket types (adult, child, senior). The group booking feature saved us money. Only complaint is that the app doesn't remember our preferred cinema location.",FamilyDad,2024-01-10,Google Play,true,27,2.0.5,regular_user
12,1,"Worst app ever made","Cannot believe how bad this app is. Takes forever to load, crashes when selecting seats, payment fails constantly, and customer service is useless. Going back to buying tickets at the counter. Don't waste your time!",AngryCustomer123,2024-01-21,App Store,true,203,2.1.0,regular_user
13,3,"Average experience","App does what it's supposed to do but nothing special. Interface is outdated, could use some modern design. Booking process is straightforward though. Would be nice to have movie ratings and reviews integrated.",DesignCritic,2024-01-09,Google Play,true,14,2.0.5,regular_user
14,5,"Excellent for theater management","Been using this for my 3 cinema locations and it's incredibly helpful. Real-time booking updates, easy showtime management, and the reporting features are comprehensive. Staff training was minimal. Worth every penny!",TheaterChain_Manager,2024-01-22,App Store,true,8,2.1.0,admin_user
15,2,"No offline ticket access","Booked tickets through the app but couldn't access them when I reached the theater because of network issues. There should be offline ticket storage. Also, QR codes are too small to scan easily at the gate.",TechWorker_Mumbai,2024-01-08,Google Play,true,78,2.0.5,regular_user
16,4,"Love the movie discovery","The app's movie recommendation system is great! Discovered some amazing indie films I wouldn't have known about. Booking is easy too. Just wish there were user reviews and ratings for movies within the app.",IndieFilmLover,2024-01-23,App Store,true,19,2.1.0,regular_user
17,1,"Overcharges and poor refund policy","Booked tickets and realized I selected wrong date. Tried to cancel within 5 minutes but the app charged full cancellation fee. Very unfair policy. Other apps give at least 30 minutes grace period.",UnhappyCustomer,2024-01-07,Google Play,true,134,2.0.5,regular_user
18,5,"Seamless experience","From movie selection to seat booking to payment - everything works perfectly. The app remembers my preferences and makes suggestions based on my history. Push notifications are timely and relevant. Highly recommended!",SatisfiedUser2024,2024-01-24,App Store,true,56,2.1.0,premium_user
19,3,"Good but needs improvements","App is functional but could be better. Movie showtimes are accurate and booking works fine. However, the search functionality is poor, can't filter by language properly, and the app doesn't sync with calendar.",RegularMoviegoer,2024-01-06,Google Play,true,22,2.0.5,regular_user
20,1,"Security concerns","App asks for too many permissions including location, contacts, and camera. Why does a movie booking app need access to my contacts? Seems like privacy invasion. Not comfortable using this app.",PrivacyAdvocate,2024-01-25,App Store,false,91,2.1.0,regular_user
21,4,"Great for date nights","Easy to browse movies and showtimes. The couple seat booking option is cute. Love that we can see movie duration and ratings. Payment is quick with saved cards. Just needs better movie trailers integration.",DateNightPlanner,2024-01-05,Google Play,true,33,2.0.5,regular_user
22,2,"App forces unnecessary updates","Every week there's a new update and the app won't work without updating. Very annoying when you're trying to quickly book tickets. Also, the new version removed some features I liked. Stop fixing what's not broken!",UpdateHater,2024-01-26,App Store,true,87,2.1.0,regular_user
23,5,"Admin analytics are incredible","The business intelligence features in this app are outstanding. Detailed reports on peak hours, popular movies, revenue by cinema, and customer demographics. Has really helped optimize our operations and pricing.",DataDrivenManager,2024-01-04,Google Play,true,15,2.1.0,admin_user
24,3,"Okay for emergency bookings","Used this app when BookMyShow was down. It worked fine for basic booking but the interface feels dated. Movie information is limited and there are no user reviews. It's a backup option at best.",BackupUser,2024-01-27,App Store,true,11,2.1.0,regular_user
25,1,"Lost money due to app bug","App showed booking confirmed and charged my card but when I reached theater, they had no record of my booking. Customer service said it's a known bug in version 2.1.0. Got refund after 7 days. Unacceptable!",DisappointedCustomer,2024-01-03,Google Play,true,178,2.1.0,regular_user
26,4,"Good for group bookings","Organizing movie trips for our college group is easy with this app. Can book multiple tickets in one go and the group discount feature saves money. Interface could be more modern but functionality is solid.",CollegeGroupLeader,2024-01-28,App Store,true,29,2.1.0,regular_user
27,2,"Poor accessibility features","As a visually impaired user, I find this app very difficult to use. Text is too small, no voice-over support, and color contrast is poor. Please improve accessibility to make it usable for everyone.",AccessibilityAdvocate,2024-01-02,Google Play,true,156,2.0.5,regular_user
28,5,"Theater owner's dream","This app has transformed how I manage my single-screen cinema. Easy to set showtimes, track sales, manage inventory, and the mobile ticket validation is smooth. Customer support is excellent too!",SingleScreenOwner,2024-01-29,App Store,true,7,2.1.0,admin_user
29,3,"Mixed feelings","Some things work well like the payment system and seat selection. But the app is slow, search is terrible, and movie information is often outdated. It's usable but not great. Needs significant improvements.",MixedReviewer,2024-01-01,Google Play,true,18,2.0.5,regular_user
30,1,"Absolute disaster","Tried booking tickets for opening day of a big movie. App crashed multiple times, lost my selected seats, and by the time it worked, show was sold out. Missed the movie because of this pathetic app. Never again!",OpeningDayFan,2024-01-30,App Store,true,234,2.1.0,regular_user
